Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen","Freie_IV_Kapazitaeten_Davon_Isolationspflichtige_Kinder","einschraenkung_beatmungsgeraet",einschraenkung_material,einschraenkung_personal,einschraenkung_raum
"2020-03-20T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,308,200,576,2866,0,1842,NA,245,42,17,4,NA,NA,0,0,0,0
"2020-03-20T12:15:00+01:00",DEUTSCHLAND,KINDER,9,0,22,55,0,34,NA,6,1,2,NA,NA,NA,0,0,0,0
"2020-03-21T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,402,308,2828,3554,0,2309,NA,319,57,22,4,NA,NA,0,0,0,0
"2020-03-21T12:15:00+01:00",DEUTSCHLAND,KINDER,15,0,43,73,0,44,NA,10,2,3,NA,NA,NA,0,0,0,0
"2020-03-22T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,426,364,3255,3712,0,2403,NA,335,58,26,7,NA,NA,0,0,0,0
"2020-03-22T12:15:00+01:00",DEUTSCHLAND,KINDER,15,0,45,71,0,42,NA,10,2,3,NA,NA,NA,0,0,0,0
"2020-03-23T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,463,451,3778,4050,0,2570,NA,370,59,27,7,NA,NA,0,0,0,0
"2020-03-23T12:15:00+01:00",DEUTSCHLAND,KINDER,16,0,54,71,0,43,NA,10,3,3,NA,NA,NA,0,0,0,0
"2020-03-24T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,533,616,4856,4712,0,3005,NA,416,80,30,7,NA,NA,0,0,0,0
"2020-03-24T12:15:00+01:00",DEUTSCHLAND,KINDER,19,0,86,85,0,51,NA,13,2,4,NA,NA,NA,0,0,0,0
"2020-03-25T12:15:00+01:00",DEUTSCHLAND,ERWACHSENE,581,789,5471,5081,0,3241,NA,468,77,28,8,NA,NA,0,0,0,0
"2020-03-25T12:15:00+01:00",DEUTSCHLAND,KINDER,21,0,125,92,0,53,NA,14,2,5,NA,NA,NA,0,0,0,0
